index,original_pair,corrupted_pair
2501,palayanan lumayan alus . [A] [O] [S] [A] palayanan [O] lumayan alus [S] positive,
2512,dahareun kurang muaskeun . [A] [O] [S] [A] dahareun [O] kurang muaskeun [S] negative,
2517,kamarna beresih . [A] [O] [S] [A] kamarna [O] beresih [S] positive,béntang geuleuh . [A] [O] [S] [A] béntang [O] geuleuh [S] negative
2524,hargana kajangkau jeung deukeut ka tengah kota bandung . [A] [O] [S] [A] hargana [O] kajangkau [S] positive,
2529,hotél kurang ngeunaheun . [A] [O] [S] [A] hotél [O] kurang ngeunaheun [S] negative,
2532,ieu tempatna oke . [A] [O] [S] [A] tempatna [O] oke [S] positive,
2541,palayanan oke . [A] [O] [S] [A] palayanan [O] oke [S] positive,
2547,palayanan anu ngecewakeun pisan . [A] [O] [S] [A] palayanan [O] ngecewakeun pisan [S] negative,
2549,euweuh cai mineral di kamar . [A] [O] [S] [A] cai mineral [O] euweuh [S] negative,
2550,tempatna mah ngeunaheun . [A] [O] [S] [A] tempatna [O] ngeunaheun [S] positive,
2551,hanjakal euweuh sarapan . hihihj . [A] [O] [S] [A] sarapan [O] euweuh [S] negative,
2553,kamar alus . [A] [O] [S] [A] kamar [O] alus [S] positive,
2556,tempat ngéndong anu ngeunaheun . [A] [O] [S] [A] tempat [O] ngeunaheun [S] positive,
2561,kamar mandi kurang beresih . [A] [O] [S] [A] kamar mandi [O] kurang beresih [S] negative,
2565,palayanan alus . nuhun . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2579,hotelna ngeunaheun pisan . [A] [O] [S] [A] hotelna [O] ngeunaheun pisan [S] positive,
2592,kamarna kotor . [A] [O] [S] [A] kamarna [O] kotor [S] negative,beurang saé . [A] [O] [S] [A] beurang [O] saé [S] positive
2594,"ieu tempat ngeunah keur persinggahan . deukeut ka bandara , bisa mesen dianterkeun . [A] [O] [S] [A] tempat [O] ngeunah [S] positive",
2598,palayanan mah alus salila 24 jam . [A] [O] [S] [A] palayanan [O] alus [S] positive,
2600,nu ngajagana kurang ramah . [A] [O] [S] [A] nu ngajagana [O] kurang ramah [S] negative,
2628,ménu sarapan téh kurang lengkep . [A] [O] [S] [A] ménu sarapan [O] kurang lengkep [S] negative,
2636,lampu kamar kurang caang . [A] [O] [S] [A] lampu kamar [O] kurang caang [S] negative,
2642,résepsionis kurang ramah . [A] [O] [S] [A] résepsionis [O] kurang ramah [S] negative,
2699,wifi-na teu hurung euy . [A] [O] [S] [A] wifi-na [O] teu hurung [S] negative,
2700,lokasina oké . deukeut jeung tengah kota . [A] [O] [S] [A] lokasina [O] oké [S] positive,
