index,original_sentence,original_triplet,counterfact1,counterfact_triplet1,counterfact1_modified,counterfact_triplet1_modified,counterfact2,counterfact_triplet2,counterfact2_modified,counterfact_triplet2_modified,counterfact3,counterfact_triplet3,counterfact3_modified,counterfact_triplet3_modified,checked1?,checked2?,checked3?
20,"the wifi is bad . i already reported it , but it hasn't been fixed .","[('wifi', 'bad', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
30,the water pressure is low .,"[('water pressure', 'low', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
46,the room is comfortable with blue shades .,"[('room', 'comfortable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
47,very enjoyable .,"[('null', 'very enjoyable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
54,very bad . i already ordered and paid but it was unilaterally canceled by airy . i won't use airy again .,"[('null', 'very bad', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
60,the service is good .,"[('service', 'good', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
72,there are no airy facilities .,"[('airy facilities', 'no', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
75,the bathroom water is salty .,"[('bathroom water', 'salty', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
89,the service is good .,"[('service', 'good', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
90,the room is okay .,"[('room', 'okay', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
96,it was a very memorable experience .,"[('experience', 'very memorable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
97,"the place is comfortable , always happy staying here .","[('place', 'comfortable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
117,definitely recommended .,"[('null', 'recommended', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
123,there were no snacks even though i stayed for 4 consecutive days .,"[('snacks', 'no', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
130,quite comfortable .,"[('null', 'quite comfortable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
146,"indeed , there is no breakfast .","[('breakfast', 'no', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
157,the service is fast .,"[('service', 'fast', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
166,there is no soap in the room .,"[('soap', 'no', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
167,there are no snacks .,"[('snacks', 'no', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
178,the wifi is not satisfactory : ) .,"[('wifi', 'not satisfactory', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
183,it's hard to turn on the ac .,"[('ac', 'hard to turn on', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
198,the room is cramped .,"[('room', 'cramped', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
199,"i've stayed here 3 times , always a loyal customer . the place is comfortable .","[('place', 'comfortable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
201,the service is lacking .,"[('service', 'lacking', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
220,the service is okay .,"[('service', 'okay', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
223,a very comfortable place to rest .,"[('place', 'very comfortable', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
225,the room is just right for newlyweds and couples with 1 child .,"[('room', 'just right', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
229,"on the 1st floor , the room we occupied was quite large .","[('room', 'quite large', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
230,the hot shower isn't working .,"[('hot shower', ""isn't working"", 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
231,the place is nice .,"[('place', 'nice', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
233,friendly service .,"[('service', 'friendly', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
235,"the location is strategic , near blitar station and the town square .","[('location', 'strategic', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
245,the room was dirty .,"[('room', 'dirty', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
252,"the tv uses an indoor antenna in the room , so the picture is unclear . there was only one bottle of water provided for two days , and the divider between rooms is made of triplex .","[('tv', 'unclear', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
258,"the ac wasn't cold , far from expectations and airy standards .","[('ac', ""wasn't cold"", 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
261,the room is good for a standard budget .,"[('room', 'good', 'positive')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
282,the bedsheets were not clean enough .,"[('bedsheets', 'not clean enough', 'negative')]",,,,,,,,,,,,,FALSE,FALSE,FALSE
